Organization,A-content,G-content,C-content,T-content
Nested,0.18292682926829268,0.32926829268292684,0.25609756097560976,0.23170731707317074
Non-Nested,0.18292682926829268,0.32926829268292684,0.25609756097560976,0.23170731707317074
Non-Nested,0.1951219512195122,0.32926829268292684,0.24390243902439024,0.23170731707317074
Non-Nested,0.18292682926829268,0.32926829268292684,0.25609756097560976,0.23170731707317074
Non-Nested,0.18292682926829268,0.32926829268292684,0.25609756097560976,0.23170731707317074
Non-Nested,0.18292682926829268,0.32926829268292684,0.25609756097560976,0.23170731707317074
Non-Nested,0.1951219512195122,0.32926829268292684,0.25609756097560976,0.2195121951219512
Non-Nested,0.1951219512195122,0.32926829268292684,0.25609756097560976,0.2195121951219512
Non-Nested,0.2073170731707317,0.3170731707317073,0.25609756097560976,0.2195121951219512
Non-Nested,0.2073170731707317,0.3170731707317073,0.25609756097560976,0.2195121951219512
Non-Nested,0.2073170731707317,0.3170731707317073,0.25609756097560976,0.2195121951219512
Non-Nested,0.2073170731707317,0.3170731707317073,0.25609756097560976,0.2195121951219512
Non-Nested,0.2073170731707317,0.3170731707317073,0.25609756097560976,0.2195121951219512
Non-Nested,0.1891891891891892,0.33783783783783783,0.2297297297297297,0.2432432432432433
Non-Nested,0.1891891891891892,0.33783783783783783,0.2297297297297297,0.2432432432432433
Non-Nested,0.1917808219178082,0.3013698630136986,0.2876712328767123,0.2191780821917808
Non-Nested,0.1917808219178082,0.3013698630136986,0.2876712328767123,0.2191780821917808
Non-Nested,0.1917808219178082,0.3013698630136986,0.2876712328767123,0.2191780821917808
Non-Nested,0.1917808219178082,0.3013698630136986,0.2876712328767123,0.2191780821917808
Non-Nested,0.2191780821917808,0.273972602739726,0.2602739726027397,0.2465753424657534
Nested,0.1917808219178082,0.3013698630136986,0.2876712328767123,0.2191780821917808
Non-Nested,0.1917808219178082,0.3013698630136986,0.2876712328767123,0.2191780821917808
Nested,0.2054794520547945,0.2876712328767123,0.3013698630136986,0.2054794520547945
Nested,0.2054794520547945,0.2876712328767123,0.3013698630136986,0.2054794520547945
Nested,0.2054794520547945,0.2876712328767123,0.3013698630136986,0.2054794520547945
Non-Nested,0.24468085106382975,0.30851063829787234,0.1914893617021277,0.2553191489361702
Non-Nested,0.2333333333333333,0.275,0.2333333333333333,0.25833333333333336
Nested,0.20833333333333331,0.31666666666666665,0.2333333333333333,0.2416666666666667
Nested,0.2872340425531915,0.2872340425531915,0.1914893617021277,0.23404255319148934
Nested,0.2765957446808511,0.2872340425531915,0.18085106382978725,0.2553191489361702
Nested,0.27956989247311825,0.2903225806451613,0.1935483870967742,0.23655913978494625
Non-Nested,0.2903225806451613,0.2903225806451613,0.1935483870967742,0.2258064516129032
Non-Nested,0.27956989247311825,0.2903225806451613,0.2043010752688172,0.2258064516129032
Nested,0.125,0.3611111111111111,0.25,0.2638888888888889
